scan_run_date,entry_asof_date,symbol,sector,tip,final_score,tech_ucuzluk,banker,zamanlama_carpan,temel_skor,guvenlik_marji_%,rsi_d,rsi_diverjans,birikim_diverjans,tl_hacim_M,ladder_entry,ort_maliyet,hedef_orta,hedef_tam,hard_stop
2026-07-05,2026-07-03,GENTS,Sanayi-İmalat,birikim+dip,93.7,79.3,63.4,1.04,84.0,50.5,33.4,False,True,61.2,6.22,5.8872,9.83,13.62,5.2354
2026-07-05,2026-07-03,FORMT,Madencilik-Metal,birikim,81.9,77.9,57.5,1.022,57.1,,38.0,False,True,73.6,2.18,2.0634,3.21,4.4,1.8555
2026-07-05,2026-07-03,LMKDC,Madencilik-Metal,birikim+dip,77.8,67.5,67.1,1.051,74.2,23.5,25.6,False,True,144.6,26.58,25.1141,31.45,39.06,22.4567
2026-07-05,2026-07-03,KRGYO,İnşaat-GYO,birikim,73.6,60.7,65.7,1.131,68.1,40.5,43.9,True,True,100.2,2.62,2.4798,3.07,3.55,2.1934
2026-07-05,2026-07-03,IHGZT,Tüketici Hizmetleri,birikim,71.7,59.2,63.2,1.123,69.5,,44.3,True,True,53.5,1.34,1.2683,1.72,2.14,1.1301
2026-07-05,2026-07-03,KZBGY,İnşaat-GYO,birikim,71.3,81.3,54.5,1.014,70.3,107.2,29.8,False,True,234.3,2.51,2.3757,3.7095,4.959,2.0359
2026-07-05,2026-07-03,IHLGM,Finans,birikim+dip,70.2,66.6,60.6,1.114,95.4,167.6,39.8,True,True,64.3,1.82,1.7226,2.465,3.14,1.5187
2026-07-05,2026-07-03,DERHL,Dayanıksız Tüketim,birikim-spek,65.8,82.4,63.9,1.042,39.4,,36.8,False,True,85.4,12.7,12.0205,15.52,18.37,10.6279
2026-07-05,2026-07-03,TUKAS,Gıda-İçecek-Perakende,birikim,62.7,69.4,64.4,1.043,70.5,37.2,36.4,False,True,193.7,,,,,
2026-07-05,2026-07-03,BLCYT,Tekstil,birikim+dip,61.9,74.5,66.5,1.05,63.8,61.9,33.7,False,True,161.8,,,,,
2026-07-05,2026-07-03,BRYAT,Holding,birikim,58.4,54.3,71.5,1.065,52.5,13.7,44.0,False,True,107.6,,,,,
2026-07-05,2026-07-03,MARMR,Finans,birikim,54.6,50.3,60.8,1.032,63.0,,43.4,False,True,255.5,,,,,
2026-07-05,2026-07-03,DITAS,Sanayi-İmalat,birikim-spek,50.2,52.8,64.3,1.043,28.0,1.2,36.5,False,True,295.4,,,,,
2026-07-05,2026-07-03,BAGFS,Kimya-Petrokimya,birikim+dip,49.8,67.6,69.7,1.144,14.6,,37.0,True,True,30.3,,,,,
2026-07-05,2026-07-03,ALKA,Proses Sanayi,birikim-spek,44.3,65.0,65.5,1.046,17.1,,33.0,False,True,26.2,,,,,
2026-07-05,2026-07-03,BURCE,Demir-Çelik-Metal,birikim-spek,44.3,50.7,81.1,1.093,0.0,,39.9,False,True,127.7,,,,,
2026-07-05,2026-07-03,GIPTA,Sanayi-İmalat,birikim,44.0,55.1,71.3,1.064,50.3,43.6,45.6,False,True,198.2,,,,,
2026-07-05,2026-07-03,ARZUM,Dağıtım-Toptan,birikim,37.8,75.9,68.2,1.055,94.9,,36.3,False,True,46.4,,,,,
2026-07-05,2026-07-03,ULUFA,Finans,birikim,35.0,64.0,59.1,1.027,66.4,,33.8,False,True,43.1,,,,,
2026-07-05,2026-07-03,VSNMD,Madencilik-Metal,birikim-spek,34.7,65.3,52.1,1.006,20.0,,47.2,False,True,394.4,,,,,
2026-07-05,2026-07-03,TSPOR,Tüketici Hizmetleri,birikim,33.9,60.9,68.0,1.054,63.9,,41.9,False,True,132.4,,,,,
2026-07-05,2026-07-03,YESIL,Diğer,birikim-spek,30.2,71.6,67.8,1.053,0.0,,39.7,False,True,23.6,,,,,
2026-07-05,2026-07-03,PNSUT,Gıda-İçecek-Perakende,birikim,28.1,52.7,61.2,1.034,57.6,,35.3,False,True,26.7,,,,,
2026-07-05,2026-07-03,ZOREN,Enerji-Elektrik,birikim-spek,26.0,66.7,62.0,1.036,35.6,,40.2,False,True,216.1,,,,,
2026-07-05,2026-07-03,KAYSE,Sağlık Teknolojisi,birikim,20.2,52.0,63.7,1.041,49.0,,38.9,False,True,37.1,,,,,
